index,Composition,zT,total_mass
0,0,MWCNT/Bi2(Te0.9Se0.1)3,0.98,368.208
1,42,Bi2Te3,1.3,800.7607599999999
2,43,MoS2,2.2,160.07
3,44,PbTe,2.6,334.79999999999995
4,46,SnI2,0.66,372.51894
5,47,SnI2,0.78,372.51894
6,48,SnI2,0.84,372.51894
7,49,SiI2,0.78,281.89444000000003
8,50,SiI2,0.84,281.89444000000003
9,51,SiI2,0.87,281.89444000000003
10,54,Bi2Te3 +â€‰RGO,0.0035,800.7607599999999
11,57,Ag2S0.5Se0.45Te0.05,0.44,273.6809
12,58,Ag2Se,0.6,294.6964
13,59,Ag2Te0.6S0.4,0.22,305.1224
14,61,SrTi0.8Nb0.2O3,0.37,192.493076
15,62,SrTi0.8Nb0.2O2.75,0.29,188.493226
16,63,SrTi0.8Nb0.2O3,0.04,192.493076
17,65,TiS2,0.28,111.99699999999999
18,69,Bi2Se2.7Te0.3,0.1,669.4327599999999
19,71,Bi2Te3,0.29,800.7607599999999
20,74,In0.25Ce0.2Co4Sb12,1.5,1753.5805
21,75,Ag0.4Pb22.5SbTe20,1.5,7378.90728
22,77,(Ti0.35Zr0.35Hf0.30)33(Ni0.998Cu0.002)35(SN0.988Sb0.012)32,1.5,6943.8323992000005
23,79,Pb0.98Na0.02Se,1.2,282.4757954
24,80,Pb0.955Na0.005Sr0.04Se,1.0,280.45574884999996
25,81,Pb0.9Na0.02Sr0.08Se,1.4,272.9093954
26,82,Pb0.932Na0.008Sr0.04Mn0.02Se,0.9,276.85787913999997
27,83,Pb0.96Na0.02Hg0.02Se,1.7,282.34359539999997
28,84,Pb0.96Na0.02Cd0.02Se,1.2,280.5800154
29,85,Pb0.96Na0.02Zn0.02Se,1.2,279.63997539999997
30,86,Pb0.95Na0.01Ba0.04Se,0.99,281.52297769999996
31,87,PbSe0.998Br0.002,1.1,286.161888
32,88,Pb0.9975Sb0.0025Se,1.45,285.9464
33,89,Pb0.985Bi0.015Se,0.63,286.1867057
34,90,Pb0.98Sb0.01Cd0.01Se,1.0,284.35771
35,91,PbZn0.01Se0.998Br0.002,1.5,286.815978
36,94,PbCu0.005Se,1.4,286.47773
37,95,Pb0.98Na0.02Te,1.5,331.11579539999997
38,97,Pb0.9Na0.02Sr0.08Te,2.45,321.5493954
39,98,Pb0.92Na0.02Sr0.04Mn0.02Te,2.0,323.28735638
40,103,PbTe0.998I0.002,1.4,334.79860894
41,104,Pb0.9875Sb0.0125Te,0.9,333.73199999999997
42,105,Pb0.985Bi0.015Te,0.7,334.8267057
43,106,Pb0.98Sb0.01Cd0.01Te,0.9,332.99771
44,107,Pb0.99Zn0.01Te0.997I0.003,0.7,333.38000341
45,110,PbCu0.005Te,1.0,335.11773
46,111,Ca2.5Ag0.3La0.2Co4O9,0.48,540.06396
47,112,Ca2.5Ag0.3Pr0.2Co4O9,0.58,540.46439
48,113,Ca2.5Ag0.3Nd0.2Co4O9,0.52,541.13086
49,114,Ca2.5Ag0.3Sm0.2Co4O9,0.51,542.35486
50,115,Ca2.5Ag0.3Gd0.2Co4O9,0.19,543.7328600000001
51,116,Ca2.5Ag0.3Dy0.2Co4O9,0.25,544.78286
52,117,Ca2.5Ag0.3Er0.2Co4O9,0.54,545.73466
53,118,Ca2.5Ag0.3Yb0.2Co4O9,0.47,546.89086
54,119,Ca2.5Ag0.3Eu0.2Co4O9,0.57,542.67566
55,122,Ca2.5Ag0.3Lu0.2Co4O9,0.5,547.27626
56,123,Ca2.7Ag0.3Co4O9,0.35,520.29846
57,124,Ca2.5Ag0.3Ce0.2Co4O9,0.21,540.30606
58,125,Ca2.5Ag0.3Y0.2Co4O9,0.17,530.06403
59,126,Zn0.94Al0.02Ge0.02O,0.04,79.47629076000001
60,127,Zn0.98Al0.02O,0.08,80.63985075999999
61,128,Zn0.96Al0.02Ga0.02O,0.17,80.72613076
62,129,Zn0.96Al0.02In0.02O,0.12,81.62803076
63,131,Sn0.97Na0.03Se,2.0,194.7983931
64,133,(Si95Ge5)0.65(Si70Ge30P3)0.35,1.3,3453.696824049999
65,134,Bi0.875Ba0.125CuSeO,1.4,358.52910749999995
66,138,Ge0.9Sb0.1Te,1.85,205.152
67,140,Sn0.88Mn0.12Te,1.3,238.65736588
68,143,Ba0.18Ce0.05Co4Sb12.02,1.26,1731.0126599999999
